NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 308.02; Caldwell County; North Carolina,3723.0,728.0,89.0,36.0,123.0,283.0,182.0,15.0,0.0,37,27,308.02,Caldwell County
Census Tract 309; Caldwell County; North Carolina,5391.0,919.0,175.0,125.0,81.0,391.0,112.0,19.0,16.0,37,27,309,Caldwell County
Census Tract 310; Caldwell County; North Carolina,2712.0,108.0,0.0,0.0,0.0,3.0,62.0,30.0,13.0,37,27,310,Caldwell County
Census Tract 311; Caldwell County; North Carolina,4246.0,309.0,9.0,0.0,31.0,224.0,35.0,10.0,0.0,37,27,311,Caldwell County
Census Tract 312.01; Caldwell County; North Carolina,4080.0,400.0,46.0,0.0,8.0,182.0,143.0,11.0,10.0,37,27,312.01,Caldwell County
Census Tract 312.02; Caldwell County; North Carolina,4703.0,685.0,23.0,54.0,125.0,391.0,73.0,9.0,10.0,37,27,312.02,Caldwell County
Census Tract 313.01; Caldwell County; North Carolina,4391.0,212.0,0.0,19.0,62.0,112.0,19.0,0.0,0.0,37,27,313.01,Caldwell County
Census Tract 313.02; Caldwell County; North Carolina,4388.0,696.0,232.0,60.0,29.0,324.0,38.0,0.0,13.0,37,27,313.02,Caldwell County
Census Tract 314.01; Caldwell County; North Carolina,3046.0,479.0,8.0,83.0,31.0,207.0,89.0,39.0,22.0,37,27,314.01,Caldwell County
Census Tract 314.02; Caldwell County; North Carolina,3077.0,157.0,0.0,5.0,2.0,101.0,45.0,4.0,0.0,37,27,314.02,Caldwell County
Census Tract 314.03; Caldwell County; North Carolina,2059.0,448.0,39.0,66.0,42.0,272.0,17.0,8.0,4.0,37,27,314.03,Caldwell County
Census Tract 9301; Caswell County; North Carolina,2311.0,306.0,26.0,49.0,0.0,158.0,39.0,15.0,19.0,37,33,9301,Caswell County
Census Tract 9302; Caswell County; North Carolina,4027.0,1068.0,86.0,36.0,86.0,535.0,264.0,61.0,0.0,37,33,9302,Caswell County
Census Tract 9303; Caswell County; North Carolina,4266.0,853.0,121.0,146.0,15.0,426.0,111.0,34.0,0.0,37,33,9303,Caswell County
Census Tract 9304; Caswell County; North Carolina,2347.0,408.0,53.0,31.0,45.0,157.0,27.0,95.0,0.0,37,33,9304,Caswell County
Census Tract 9305; Caswell County; North Carolina,3708.0,270.0,0.0,0.0,0.0,77.0,143.0,30.0,20.0,37,33,9305,Caswell County
Census Tract 9306; Caswell County; North Carolina,4502.0,420.0,5.0,11.0,6.0,317.0,81.0,0.0,0.0,37,33,9306,Caswell County
Census Tract 101.01; Catawba County; North Carolina,5957.0,452.0,76.0,0.0,70.0,108.0,58.0,117.0,23.0,37,35,101.01,Catawba County
Census Tract 101.02; Catawba County; North Carolina,4503.0,380.0,32.0,32.0,36.0,221.0,24.0,35.0,0.0,37,35,101.02,Catawba County
Census Tract 102.01; Catawba County; North Carolina,4984.0,236.0,10.0,34.0,30.0,89.0,56.0,8.0,9.0,37,35,102.01,Catawba County
Census Tract 102.03; Catawba County; North Carolina,2962.0,453.0,0.0,16.0,45.0,176.0,140.0,18.0,58.0,37,35,102.03,Catawba County
Census Tract 102.04; Catawba County; North Carolina,5435.0,769.0,232.0,62.0,0.0,405.0,33.0,0.0,37.0,37,35,102.04,Catawba County
Census Tract 103.01; Catawba County; North Carolina,5150.0,467.0,0.0,121.0,8.0,281.0,24.0,17.0,16.0,37,35,103.01,Catawba County
Census Tract 103.02; Catawba County; North Carolina,5879.0,897.0,0.0,88.0,115.0,494.0,29.0,153.0,18.0,37,35,103.02,Catawba County
Census Tract 103.03; Catawba County; North Carolina,4660.0,902.0,51.0,72.0,127.0,358.0,136.0,147.0,11.0,37,35,103.03,Catawba County
Census Tract 103.04; Catawba County; North Carolina,4300.0,869.0,161.0,155.0,137.0,366.0,50.0,0.0,0.0,37,35,103.04,Catawba County
Census Tract 104.02; Catawba County; North Carolina,4405.0,832.0,17.0,8.0,95.0,491.0,130.0,22.0,69.0,37,35,104.02,Catawba County
Census Tract 104.03; Catawba County; North Carolina,4975.0,887.0,73.0,34.0,179.0,475.0,115.0,11.0,0.0,37,35,104.03,Catawba County
Census Tract 104.04; Catawba County; North Carolina,2629.0,458.0,189.0,0.0,19.0,218.0,13.0,19.0,0.0,37,35,104.04,Catawba County
Census Tract 105.01; Catawba County; North Carolina,3740.0,151.0,0.0,13.0,0.0,106.0,28.0,4.0,0.0,37,35,105.01,Catawba County
Census Tract 105.02; Catawba County; North Carolina,3734.0,153.0,0.0,0.0,8.0,105.0,19.0,21.0,0.0,37,35,105.02,Catawba County
Census Tract 106; Catawba County; North Carolina,6717.0,1187.0,29.0,257.0,217.0,548.0,103.0,33.0,0.0,37,35,106,Catawba County
